Unit,Unit Name
U25091,William Claude Reavis School
U24081,Rudyard Kipling School
U22061,Philip D Armour School
U31281,Orozco Academy
U22671,Thomas Chalmers Specialty School
U22231,Alexander Graham Bell School
U25061,Ravenswood School
U23071,Edgebrook School
U23851,Julia Ward Howe School
U23461,Robert L Grimes School
U24401,Oscar F Mayer Elementary School
U24551,Bernhard Moos School
U31251,Thomas J Higgins Community Academy
U31261,Jose De Diego Community Academy
U26091,Morton School of Excellence
U22441,Irene C. Hernandez Middle School for the Advancement of the Sciences
U32011,Albany Park Multicultural Academy Elementary School
U41041,Francisco I Madero Middle School
U41081,Thurgood Marshall Middle School
U41121,Northwest Middle School
U26731,Barbara Vick Early Childhood & Family Center
U30041,Moses Montefiore Special School
U30051,Daniel Carter Beard School
U30071,Blair Early Childhood Center
U30081,Frederick Stock School
U30121,Wilma G Rudolph Learning Center
U49021,Northside Learning Center
U49031,Southside Occupational Academy
U49081,Jacqueline B Vaughn Occupational High School
U49101,Ray Graham Training Center
U26861,Uplift Community High School
U30011,Nancy B Jefferson Alternative School
U41051,Michelle Clark Academic Prep Magnet High School
U45221,Hyman G. Rickover Naval Academy
U45231,Air Force Academy High School
U46031,Roald Amundsen High School
U46061,Northside College Prep
U46101,Eric Solorio Academy High School
U46121,Paul Robeson High School
U46131,Edwin G Foreman High School
U46151,Harper High School
U46171,Hyde Park Career Academy
U46211,Lake View High School
U46221,Albert G Lane Technical High School
U46241,Stephen T Mather High School
U46251,Morgan Park High School
U46281,Carl Schurz High School
U46291,Charles P Steinmetz Academic Centre
U46301,Roger C Sullivan High School
U46331,George Washington High School
U46341,Gurdon S Hubbard High School
U46371,King Selective Enrollment High School
U46381,Carver Military High School
U46431,North Grand High School
U46461,Spry Community Links High School
U46481,Chicago Academy High School
U46511,Lindblom Math and Science Academy High School
U46551,New Back of the Yards High School
U46611,Sarah E. Goode STEM Academy
U46631,South Shore International College Prep High School
U46641,Richard T. Crane (RTC) Medical Preparatory High School
U47031,Emil G Hirsch Metropolitan High School
U47041,John Marshall Metropolitan High School
U47051,Gwendolyn Brooks College Prepatory Academy
U47081,Frederick W Von Steuben Metropolitan Science Center
U47091,Chicago High School For Agricultural Sciences
U47101,Whitney M Young Magnet High School
U49041,Consuella B. York Alternative High School
U49051,Simpson Academy for Young Women
U49131,Collins Academy High School
U49141,Austin Polytechnical Academy
U49151,Marine Military Academy
U51021,Harlan Community Academy High School
U52011,World Language High School (at Little Village)
U53021,Dunbar Vocational Career Academy
U53061,Neal F Simeon Vocational High School
U53071,George Westinghouse Career Academy
U53091,David G Farragut Career Academy High School
U53111,Manley Career Community Academy High School
U55161,Daniel Hale Williams Prep School of Medicine
U55181,Multicultural Arts High School (at Little Village)
U67021,Peace and Education Coalition High School
U70020,Walter Payton College Preparatory High School
U70070,Chicago Military Academy - Bronzeville
U20071,Columbia Explorers Academy
U22071,New Field School
U22081,George Armstrong Elementary School
U22091,Audubon Elementary School
U22101,Avalon Park School
U22131,Alice L Barnard Computer Math & Science Center
U22141,John Barry Elementary School
U22171,Newton Bateman Elementary School
U22181,Lillian R Nicholson Specialty School For Science & Math
U22201,Jean Baptiste Beaubien School
U22211,Jacob Beidler School
U22221,Hiram H Belding School
U22241,Frank I Bennett School
U22251,South Shore Fine Arts Academy
U22261,James G Blaine School
U22271,Daniel Boone School
U22281,Scott Joplin School
U22291,Myra Bradwell Communication Arts & Sciences Academy
U22301,Alex Haley School
U22311,Brentano Math & Science Academy
U22321,Norman Bridge School
U22331,Orville T Bright Elementary School
U22341,Federico Garcia Lorca Elementary School
U22351,William H Brown Elementary School
U22361,Charles S Brownell School
U22371,Bouchet Academy
U22381,West Ridge Elementary School
U22401,Luther Burbank School
U22411,Edmund Burke Elementary School
U22421,Augustus H Burley Elementary School
U22451,Langston Hughes/Davis Elementary School
U22461,Castellanos Elementary School
U22491,Milton Brunson Specialty Elementary School
U22511,Caldwell Academy Of Mathematics Science & Technology
U22521,Little Village Academy
U22531,Daniel R Cameron Elementary School
U22571,Charles Carroll School
U22591,Skinner North Classical School
U22601,Rachel Carson Elementary School
U22621,George Washington Carver Elementary School
U22651,George F Cassell School
U22681,Eliza Chappell Elementary School
U22691,Marvin Camras Elementary School
U22711,STEM Magnet Academy
U22721,Frederic Chopin School
U22741,Grover Cleveland School
U22751,Dewitt Clinton School
U22761,Henry R Clissold School
U22771,Edward Coles Model For Excellence School
U22791,Christopher Columbus School
U22811,Jordan Community School
U22821,John C Coonley School
U22831,Peter Cooper Dual Language Academy
U22851,Daniel J Corkery School
U22861,Manuel Perez Jr Elementary School
U22871,Everett Mckinley Dirksen School
U22881,Charles R Darwin School
